source_id,title,publisher_or_project,url,license,source_file,source_ref,snapshot_sha256,coverage,accessed
CC0-POPULAR-NAMES-BY-COUNTRY,Popular Names by Country Dataset,sigpwned,https://github.com/sigpwned/popular-names-by-country-dataset,CC0-1.0,common-forenames-by-country.csv,main,b55fbdd0cbc8ddfa7345322e9ebd479cc52fa1f90a5ee7e382a68b5487b01292,Popular forenames by country with source-year rank gender localized spelling and romanization where available,2026-08-02
CC0-WIKIDATA-GIVEN-NAMES,Wikidata given-name entities,Wikidata,https://www.wikidata.org/wiki/Wikidata:Licensing,CC0-1.0,Wikidata Query Service,P31=given name plus P407 language-of-name,a3ff2245a03121ec63a7c2f4b9d69827fc1df295548db4d9a67a7d171bceac99,Language-attached given-name spelling entities queried in batches of 100 per language mapping,2026-08-02
CC0-WIKIDATA-MYTHIC-ANCIENT,Wikidata mythological figures and ancient persons,Wikidata,https://www.wikidata.org/wiki/Wikidata:Licensing,CC0-1.0,Wikidata Query Service,scripts/generateCc0MythicAncientNames.mjs per-sphere SPARQL,7ef86f87c804a5b67599eb49c5b50af1eb23d2f20d6569a431426aea677c6bd1,Mythology and ancient_person labels partitioned by FMG name_base_id cultural sphere,2026-08-04

